Name,Type,Total,HP,Attack,Defense,Special Attack,Special Defense,Speed
Chansey,NORMAL,450,250,5,5,35,105,50
Tangela,GRASS,435,65,55,115,100,40,60
Kangaskhan,NORMAL,490,105,95,80,40,80,90
Mega Kangaskhan,NORMAL,590,105,125,100,60,100,100
Horsea,WATER,295,30,40,70,70,25,60
Seadra,WATER,440,55,65,95,95,45,85
Goldeen,WATER,320,45,67,60,35,50,63
Seaking,WATER,450,80,92,65,65,80,68
Staryu,WATER,340,30,45,55,70,55,85
Starmie,WATER,520,60,75,85,100,85,115
Mr. Mime,PSYCHIC,460,40,45,65,100,120,90
Scyther,BUG,500,70,110,80,55,80,105
Jynx,ICE,455,65,50,35,115,95,95
Electabuzz,ELECTRIC,490,65,83,57,95,85,105
Magmar,FIRE,495,65,95,57,100,85,93
Pinsir,BUG,500,65,125,100,55,70,85
Mega Pinsir,BUG,600,65,155,120,65,90,105
Tauros,NORMAL,490,75,100,95,40,70,110
Magikarp,WATER,200,20,10,55,15,20,80
Gyarados,WATER,540,95,125,79,60,100,81
Mega Gyarados,WATER,640,95,155,109,70,130,81
Lapras,WATER,535,130,85,80,85,95,60
Ditto,NORMAL,288,48,48,48,48,48,48
Eevee,NORMAL,325,55,55,50,45,65,55
Vaporeon,WATER,525,130,65,60,110,95,65
Jolteon,ELECTRIC,525,65,65,60,110,95,130
Flareon,FIRE,525,65,130,60,95,110,65
Porygon,NORMAL,395,65,60,70,85,75,40
Omanyte,ROCK,355,35,40,100,90,55,35
Omastar,ROCK,495,70,60,125,115,70,55
Kabuto,ROCK,355,30,80,90,55,45,55
Kabutops,ROCK,495,60,115,105,65,70,80
Aerodactyl,ROCK,515,80,105,65,60,75,130
Mega Aerodactyl,ROCK,615,80,135,85,70,95,150
Snorlax,NORMAL,540,160,110,65,65,110,30
Articuno,ICE,580,90,85,100,95,125,85
Zapdos,ELECTRIC,580,90,90,85,125,90,100
Moltres,FIRE,580,90,100,90,125,85,90
Dratini,DRAGON,300,41,64,45,50,50,50
Dragonair,DRAGON,420,61,84,65,70,70,70
Dragonite,DRAGON,600,91,134,95,100,100,80
Mewtwo,PSYCHIC,680,106,110,90,154,90,130
Mega Mewtwo X,PSYCHIC,780,106,190,100,154,100,130
Mega Mewtwo Y,PSYCHIC,780,106,150,70,194,120,140
Mew,PSYCHIC,600,100,100,100,100,100,100
Chikorita,GRASS,318,45,49,65,49,65,45
Bayleef,GRASS,405,60,62,80,63,80,60
Meganium,GRASS,525,80,82,100,83,100,80
Cyndaquil,FIRE,309,39,52,43,60,50,65
Quilava,FIRE,405,58,64,58,80,65,80
Typhlosion,FIRE,534,78,84,78,109,85,100
Totodile,WATER,314,50,65,64,44,48,43
Croconaw,WATER,405,65,80,80,59,63,58
Feraligatr,WATER,530,85,105,100,79,83,78
Sentret,NORMAL,215,35,46,34,35,45,20
Furret,NORMAL,415,85,76,64,45,55,90
Hoothoot,NORMAL,262,60,30,30,36,56,50
Noctowl,NORMAL,442,100,50,50,76,96,70
Ledyba,BUG,265,40,20,30,40,80,55
Ledian,BUG,390,55,35,50,55,110,85
Spinarak,BUG,250,40,60,40,40,40,30
Ariados,BUG,390,70,90,70,60,60,40
Crobat,POISON,535,85,90,80,70,80,130
Chinchou,WATER,330,75,38,38,56,56,67
Lanturn,WATER,460,125,58,58,76,76,67
Pichu,ELECTRIC,205,20,40,15,35,35,60
Cleffa,FAIRY,218,50,25,28,45,55,15
Igglybuff,NORMAL,210,90,30,15,40,20,15
Togepi,FAIRY,245,35,20,65,40,65,20
Togetic,FAIRY,405,55,40,85,80,105,40
Natu,PSYCHIC,320,40,50,45,70,45,70
Xatu,PSYCHIC,470,65,75,70,95,70,95
Mareep,ELECTRIC,280,55,40,40,65,45,35
Flaaffy,ELECTRIC,365,70,55,55,80,60,45
Ampharos,ELECTRIC,500,90,75,75,115,90,55
Mega Ampharos,ELECTRIC,610,90,95,105,165,110,45
Bellossom,GRASS,480,75,80,85,90,100,50
Marill,WATER,250,70,20,50,20,50,40
Azumarill,WATER,410,100,50,80,50,80,50
Sudowoodo,ROCK,410,70,100,115,30,65,30
Politoed,WATER,500,90,75,75,90,100,70
Hoppip,GRASS,250,35,35,40,35,55,50
Skiploom,GRASS,340,55,45,50,45,65,80
Jumpluff,GRASS,450,75,55,70,55,85,110
Aipom,NORMAL,360,55,70,55,40,55,85
Sunkern,GRASS,180,30,30,30,30,30,30
Sunflora,GRASS,425,75,75,55,105,85,30
Yanma,BUG,390,65,65,45,75,45,95
Wooper,WATER,210,55,45,45,25,25,15
Quagsire,WATER,430,95,85,85,65,65,35
Espeon,PSYCHIC,525,65,65,60,130,95,110
Umbreon,DARK,525,95,65,110,60,130,65
Murkrow,DARK,405,60,85,42,85,42,91
Slowking,WATER,490,95,75,80,100,110,30
Misdreavus,GHOST,435,60,60,60,85,85,85
Unown,PSYCHIC,336,48,72,48,72,48,48
Wobbuffet,PSYCHIC,405,190,33,58,33,58,33
Girafarig,NORMAL,455,70,80,65,90,65,85
Pineco,BUG,290,50,65,90,35,35,15
Forretress,BUG,465,75,90,140,60,60,40
Dunsparce,NORMAL,415,100,70,70,65,65,45
Gligar,GROUND,430,65,75,105,35,65,85
Steelix,STEEL,510,75,85,200,55,65,30
Snubbull,FAIRY,300,60,80,50,40,40,30
Granbull,FAIRY,450,90,120,75,60,60,45
Qwilfish,WATER,430,65,95,75,55,55,85
Scizor,BUG,500,70,130,100,55,80,65
Mega Scizor,BUG,600,70,150,140,65,100,75
Shuckle,BUG,505,20,10,230,10,230,5
Heracross,BUG,500,80,125,75,40,95,85
Mega Heracross,BUG,600,80,185,115,40,105,75
Sneasel,DARK,430,55,95,55,35,75,115
Teddiursa,NORMAL,330,60,80,50,50,50,40
Ursaring,NORMAL,500,90,130,75,75,75,55
Slugma,FIRE,250,40,40,40,70,40,20
Magcargo,FIRE,410,50,50,120,80,80,30
Swinub,ICE,250,50,50,40,30,30,50
Piloswine,ICE,450,100,100,80,60,60,50
Corsola,WATER,380,55,55,85,65,85,35
Remoraid,WATER,300,35,65,35,65,35,65
Octillery,WATER,480,75,105,75,105,75,45
Delibird,ICE,330,45,55,45,65,45,75
Mantine,WATER,465,65,40,70,80,140,70
Skarmory,STEEL,465,65,80,140,40,70,70
Houndour,DARK,330,45,60,30,80,50,65
Houndoom,DARK,500,75,90,50,110,80,95
Mega Houndoom,DARK,600,75,90,90,140,90,115
Kingdra,WATER,540,75,95,95,95,95,85
Phanpy,GROUND,330,90,60,60,40,40,40
Donphan,GROUND,500,90,120,120,60,60,50
Porygon2,NORMAL,515,85,80,90,105,95,60
Stantler,NORMAL,465,73,95,62,85,65,85
Smeargle,NORMAL,250,55,20,35,20,45,75
Tyrogue,FIGHTING,210,35,35,35,35,35,35
Hitmontop,FIGHTING,455,50,95,95,35,110,70
Smoochum,ICE,305,45,30,15,85,65,65
Elekid,ELECTRIC,360,45,63,37,65,55,95
Magby,FIRE,365,45,75,37,70,55,83
Miltank,NORMAL,490,95,80,105,40,70,100
Blissey,NORMAL,540,255,10,10,75,135,55
Raikou,ELECTRIC,580,90,85,75,115,100,115
Entei,FIRE,580,115,115,85,90,75,100
Suicune,WATER,580,100,75,115,90,115,85
Larvitar,ROCK,300,50,64,50,45,50,41
Pupitar,ROCK,410,70,84,70,65,70,51
Tyranitar,ROCK,600,100,134,110,95,100,61
Mega Tyranitar,ROCK,700,100,164,150,95,120,71
Lugia,PSYCHIC,680,106,90,130,90,154,110
Ho-oh,FIRE,680,106,130,90,110,154,90
Celebi,PSYCHIC,600,100,100,100,100,100,100
Treecko,GRASS,310,40,45,35,65,55,70
Grovyle,GRASS,405,50,65,45,85,65,95
Sceptile,GRASS,530,70,85,65,105,85,120
Torchic,FIRE,310,45,60,40,70,50,45
Combusken,FIRE,405,60,85,60,85,60,55
Blaziken,FIRE,530,80,120,70,110,70,80
Mega Blaziken,FIRE,630,80,160,80,130,80,100
Mudkip,WATER,310,50,70,50,50,50,40
Marshtomp,WATER,405,70,85,70,60,70,50
Swampert,WATER,535,100,110,90,85,90,60
Poochyena,DARK,220,35,55,35,30,30,35
Mightyena,DARK,420,70,90,70,60,60,70
Zigzagoon,NORMAL,240,38,30,41,30,41,60
Linoone,NORMAL,420,78,70,61,50,61,100
Wurmple,BUG,195,45,45,35,20,30,20
Silcoon,BUG,205,50,35,55,25,25,15
Beautifly,BUG,385,60,70,50,90,50,65
Cascoon,BUG,205,50,35,55,25,25,15
Dustox,BUG,385,60,50,70,50,90,65
Lotad,WATER,220,40,30,30,40,50,30
Lombre,WATER,340,60,50,50,60,70,50
Ludicolo,WATER,480,80,70,70,90,100,70
Seedot,GRASS,220,40,40,50,30,30,30
Nuzleaf,GRASS,340,70,70,40,60,40,60
Shiftry,GRASS,480,90,100,60,90,60,80
Taillow,NORMAL,270,40,55,30,30,30,85
Swellow,NORMAL,430,60,85,60,50,50,125
Wingull,WATER,270,40,30,30,55,30,85
Pelipper,WATER,430,60,50,100,85,70,65
Ralts,PSYCHIC,198,28,25,25,45,35,40
Kirlia,PSYCHIC,278,38,35,35,65,55,50
Gardevoir,PSYCHIC,518,68,65,65,125,115,80
Mega Gardevoir,PSYCHIC,618,68,85,65,165,135,100
Surskit,BUG,269,40,30,32,50,52,65
Masquerain,BUG,414,70,60,62,80,82,60
Shroomish,GRASS,295,60,40,60,40,60,35
Breloom,GRASS,460,60,130,80,60,60,70
Slakoth,NORMAL,280,60,60,60,35,35,30
Vigoroth,NORMAL,440,80,80,80,55,55,90
Slaking,NORMAL,670,150,160,100,95,65,100
Nincada,BUG,266,31,45,90,30,30,40
Ninjask,BUG,456,61,90,45,50,50,160
Shedinja,BUG,236,1,90,45,30,30,40
Whismur,NORMAL,240,64,51,23,51,23,28
Loudred,NORMAL,360,84,71,43,71,43,48
Exploud,NORMAL,480,104,91,63,91,63,68
Makuhita,FIGHTING,237,72,60,30,20,30,25
Hariyama,FIGHTING,474,144,120,60,40,60,50
Azurill,NORMAL,190,50,20,40,20,40,20
Nosepass,ROCK,375,30,45,135,45,90,30
Skitty,NORMAL,260,50,45,45,35,35,50
Delcatty,NORMAL,380,70,65,65,55,55,70
Sableye,DARK,380,50,75,75,65,65,50
Mawile,STEEL,380,50,85,85,55,55,50
Mega Mawile,STEEL,520,50,105,125,55,95,90
Aron,STEEL,330,50,70,100,40,40,30
Lairon,STEEL,430,60,90,140,50,50,40
Aggron,STEEL,530,70,110,180,60,60,50
Mega Aggron,STEEL,630,70,140,230,60,80,50
Meditite,FIGHTING,280,30,40,55,40,55,60
Medicham,FIGHTING,410,60,60,75,60,75,80
Mega Medicham,FIGHTING,510,60,100,85,80,85,100
Electrike,ELECTRIC,295,40,45,40,65,40,65
Manectric,ELECTRIC,475,70,75,60,105,60,105
Mega Manectric,ELECTRIC,575,70,75,80,135,80,135
Plusle,ELECTRIC,405,60,50,40,85,75,95
Minun,ELECTRIC,405,60,40,50,75,85,95
Volbeat,BUG,400,65,73,55,47,75,85
Illumise,BUG,400,65,47,55,73,75,85
Roselia,GRASS,400,50,60,45,100,80,65
Gulpin,POISON,302,70,43,53,43,53,40
Swalot,POISON,467,100,73,83,73,83,55
Carvanha,WATER,305,45,90,20,65,20,65
Sharpedo,WATER,460,70,120,40,95,40,95
Wailmer,WATER,400,130,70,35,70,35,60
Wailord,WATER,500,170,90,45,90,45,60
Numel,FIRE,305,60,60,40,65,45,35
Camerupt,FIRE,460,70,100,70,105,75,40
Torkoal,FIRE,470,70,85,140,85,70,20
Spoink,PSYCHIC,330,60,25,35,70,80,60
Grumpig,PSYCHIC,470,80,45,65,90,110,80
Spinda,NORMAL,360,60,60,60,60,60,60
Trapinch,GROUND,290,45,100,45,45,45,10
Vibrava,GROUND,340,50,70,50,50,50,70
Flygon,GROUND,520,80,100,80,80,80,100
Cacnea,GRASS,335,50,85,40,85,40,35
Cacturne,GRASS,475,70,115,60,115,60,55
Swablu,NORMAL,310,45,40,60,40,75,50
Altaria,DRAGON,490,75,70,90,70,105,80
Zangoose,NORMAL,458,73,115,60,60,60,90
Seviper,POISON,458,73,100,60,100,60,65
Lunatone,ROCK,440,70,55,65,95,85,70
Solrock,ROCK,440,70,95,85,55,65,70
Barboach,WATER,288,50,48,43,46,41,60
Whiscash,WATER,468,110,78,73,76,71,60
Corphish,WATER,308,43,80,65,50,35,35
Crawdaunt,WATER,468,63,120,85,90,55,55
Baltoy,GROUND,300,40,40,55,40,70,55
Claydol,GROUND,500,60,70,105,70,120,75
Lileep,ROCK,355,66,41,77,61,87,23
Cradily,ROCK,495,86,81,97,81,107,43
Anorith,ROCK,355,45,95,50,40,50,75
Armaldo,ROCK,495,75,125,100,70,80,45
Feebas,WATER,200,20,15,20,10,55,80
Milotic,WATER,540,95,60,79,100,125,81
Castform,NORMAL,420,70,70,70,70,70,70
Kecleon,NORMAL,440,60,90,70,60,120,40
Shuppet,GHOST,295,44,75,35,63,33,45
Banette,GHOST,455,64,115,65,83,63,65
Mega Banette,GHOST,555,64,165,75,93,83,75
Duskull,GHOST,295,20,40,90,30,90,25
Dusclops,GHOST,455,40,70,130,60,130,25
Tropius,GRASS,460,99,68,83,72,87,51
Chimecho,PSYCHIC,425,65,50,70,95,80,65
Absol,DARK,465,65,130,60,75,60,75
Mega Absol,DARK,565,65,150,60,115,60,115
Wynaut,PSYCHIC,260,95,23,48,23,48,23
Snorunt,ICE,300,50,50,50,50,50,50
Glalie,ICE,480,80,80,80,80,80,80
Spheal,ICE,290,70,40,50,55,50,25
Sealeo,ICE,410,90,60,70,75,70,45
Walrein,ICE,530,110,80,90,95,90,65
Clamperl,WATER,345,35,64,85,74,55,32
Huntail,WATER,485,55,104,105,94,75,52
Gorebyss,WATER,485,55,84,105,114,75,52
Relicanth,WATER,485,100,90,130,45,65,55
Luvdisc,WATER,330,43,30,55,40,65,97
Bagon,DRAGON,300,45,75,60,40,30,50
Shelgon,DRAGON,420,65,95,100,60,50,50
Salamence,DRAGON,600,95,135,80,110,80,100
Beldum,STEEL,300,40,55,80,35,60,30
Metang,STEEL,420,60,75,100,55,80,50
Metagross,STEEL,600,80,135,130,95,90,70
Regirock,ROCK,580,80,100,200,50,100,50
Regice,ICE,580,80,50,100,100,200,50
Registeel,STEEL,580,80,75,150,75,150,50
Latias,DRAGON,600,80,80,90,110,130,110
Latios,DRAGON,600,80,90,80,130,110,110
Kyogre,WATER,670,100,100,90,150,140,90
Groudon,GROUND,670,100,150,140,100,90,90
Rayquaza,DRAGON,680,105,150,90,150,90,95
Jirachi,STEEL,600,100,100,100,100,100,100
Deoxys- Normal Forme,PSYCHIC,600,50,150,50,150,50,150
Deoxys- Attack Forme,PSYCHIC,600,50,180,20,180,20,150
Deoxys- Defense Forme,PSYCHIC,600,50,70,160,70,160,90
Deoxys- Speed Forme,PSYCHIC,600,50,95,90,95,90,180
Turtwig,GRASS,318,55,68,64,45,55,31
Grotle,GRASS,405,75,89,85,55,65,36
Torterra,GRASS,525,95,109,105,75,85,56
Chimchar,FIRE,309,44,58,44,58,44,61
Monferno,FIRE,405,64,78,52,78,52,81
Infernape,FIRE,534,76,104,71,104,71,108
Piplup,WATER,314,53,51,53,61,56,40
Prinplup,WATER,405,64,66,68,81,76,50
Empoleon,WATER,530,84,86,88,111,101,60
Starly,NORMAL,245,40,55,30,30,30,60
Staravia,NORMAL,340,55,75,50,40,40,80
Staraptor,NORMAL,475,85,120,70,50,50,100
Bidoof,NORMAL,250,59,45,40,35,40,31
Bibarel,NORMAL,410,79,85,60,55,60,71
Kricketot,BUG,194,37,25,41,25,41,25
Kricketune,BUG,384,77,85,51,55,51,65
Shinx,ELECTRIC,263,45,65,34,40,34,45
Luxio,ELECTRIC,363,60,85,49,60,49,60
Luxray,ELECTRIC,523,80,120,79,95,79,70
Budew,GRASS,280,40,30,35,50,70,55
Roserade,GRASS,505,60,70,55,125,105,90
Cranidos,ROCK,350,67,125,40,30,30,58
Rampardos,ROCK,495,97,165,60,65,50,58
Shieldon,ROCK,350,30,42,118,42,88,30
Bastiodon,ROCK,495,60,52,168,47,138,30
Burmy,BUG,224,40,29,45,29,45,36
Wormadam- Plant Cloak,BUG,424,60,59,85,79,105,36
Wormadam- Sandy Cloak,BUG,424,60,79,105,59,85,36
Wormadam- Trash Cloak,BUG,424,60,69,95,69,95,36
Mothim,BUG,424,70,94,50,94,50,66
Combee,BUG,244,30,30,42,30,42,70
Vespiquen,BUG,474,70,80,102,80,102,40
Pachirisu,ELECTRIC,405,60,45,70,45,90,95
Buizel,WATER,330,55,65,35,60,30,85
Floatzel,WATER,495,85,105,55,85,50,115
Cherubi,GRASS,275,45,35,45,62,53,35
Cherrim,GRASS,450,70,60,70,87,78,85
Shellos,WATER,325,76,48,48,57,62,34
Gastrodon,WATER,475,111,83,68,92,82,39
Ambipom,NORMAL,482,75,100,66,60,66,115
Drifloon,GHOST,348,90,50,34,60,44,70
Drifblim,GHOST,498,150,80,44,90,54,80
Buneary,NORMAL,350,55,66,44,44,56,85
Lopunny,NORMAL,480,65,76,84,54,96,105
Mismagius,GHOST,495,60,60,60,105,105,105
Honchkrow,DARK,505,100,125,52,105,52,71
Glameow,NORMAL,310,49,55,42,42,37,85
Purugly,NORMAL,452,71,82,64,64,59,112
Chingling,PSYCHIC,285,45,30,50,65,50,45
Stunky,POISON,329,63,63,47,41,41,74
Skuntank,POISON,479,103,93,67,71,61,84
Bronzor,STEEL,300,57,24,86,24,86,23
Bronzong,STEEL,500,67,89,116,79,116,33
Bonsly,ROCK,290,50,80,95,10,45,10
Mime Jr.,PSYCHIC,310,20,25,45,70,90,60
Happiny,NORMAL,220,100,5,5,15,65,30
Chatot,NORMAL,411,76,65,45,92,42,91
Spiritomb,GHOST,485,50,92,108,92,108,35
Gible,DRAGON,300,58,70,45,40,45,42
Gabite,DRAGON,410,68,90,65,50,55,82
Garchomp,DRAGON,600,108,130,95,80,85,102
Mega Garchomp,DRAGON,700,108,170,115,120,95,92
Munchlax,NORMAL,390,135,85,40,40,85,5
Riolu,FIGHTING,285,40,70,40,35,40,60
Lucario,FIGHTING,525,70,110,70,115,70,90
Mega Lucario,FIGHTING,625,70,145,88,140,70,112
Hippopotas,GROUND,330,68,72,78,38,42,32
Hippowdon,GROUND,525,108,112,118,68,72,47
Skorupi,POISON,330,40,50,90,30,55,65
Drapion,POISON,500,70,90,110,60,75,95
Croagunk,POISON,300,48,61,40,61,40,50
Toxicroak,POISON,490,83,106,65,86,65,85
Carnivine,GRASS,454,74,100,72,90,72,46
Finneon,WATER,330,49,49,56,49,61,66
Lumineon,WATER,460,69,69,76,69,86,91
Mantyke,WATER,345,45,20,50,60,120,50
Snover,GRASS,334,60,62,50,62,60,40
Abomasnow,GRASS,494,90,92,75,92,85,60
Mega Abomasnow,GRASS,594,90,132,105,132,105,30
Weavile,DARK,510,70,120,65,45,85,125
Magnezone,ELECTRIC,535,70,70,115,130,90,60
Lickilicky,NORMAL,515,110,85,95,80,95,50
Rhyperior,GROUND,535,115,140,130,55,55,40
Tangrowth,GRASS,535,100,100,125,110,50,50
Electivire,ELECTRIC,540,75,123,67,95,85,95
Magmortar,FIRE,540,75,95,67,125,95,83
Togekiss,FAIRY,545,85,50,95,120,115,80
Yanmega,BUG,515,86,76,86,116,56,95
Leafeon,GRASS,525,65,110,130,60,65,95
Glaceon,ICE,525,65,60,110,130,95,65
Gliscor,GROUND,510,75,95,125,45,75,95
Mamoswine,ICE,530,110,130,80,70,60,80
Porygon-Z,NORMAL,535,85,80,70,135,75,90
Gallade,PSYCHIC,518,68,125,65,65,115,80
Probopass,ROCK,525,60,55,145,75,150,40
Dusknoir,GHOST,525,45,100,135,65,135,45
Froslass,ICE,480,70,80,70,80,70,110
Rotom,ELECTRIC,440,50,50,77,95,77,91
Heat Rotom,ELECTRIC,520,50,65,107,105,107,86
Wash Rotom,ELECTRIC,520,50,65,107,105,107,86
Frost Rotom,ELECTRIC,520,50,65,107,105,107,86
Fan Rotom,ELECTRIC,520,50,65,107,105,107,86
Mow Rotom,ELECTRIC,520,50,65,107,105,107,86
Uxie,PSYCHIC,580,75,75,130,75,130,95
Mesprit,PSYCHIC,580,80,105,105,105,105,80
Azelf,PSYCHIC,580,75,125,70,125,70,115
Dialga,STEEL,680,100,120,120,150,100,90
Palkia,WATER,680,90,120,100,150,120,100
Heatran,FIRE,600,91,90,106,130,106,77
Regigigas,NORMAL,670,110,160,110,80,110,100
Giratina- Altered Forme,GHOST,680,150,100,120,100,120,90
Giratina- Origin Forme,GHOST,680,150,120,100,120,100,90
Cresselia,PSYCHIC,600,120,70,120,75,130,85
Phione,WATER,480,80,80,80,80,80,80
Manaphy,WATER,600,100,100,100,100,100,100
Darkrai,DARK,600,70,90,90,135,90,125
Shaymin- Land Forme,GRASS,600,100,100,100,100,100,100
Shaymin- Sky Forme,GRASS,600,100,103,75,120,75,127
Arceus,NORMAL,720,120,120,120,120,120,120
Victini,PSYCHIC,600,100,100,100,100,100,100
Snivy,GRASS,308,45,45,55,45,55,63
Servine,GRASS,413,60,60,75,60,75,83
Serperior,GRASS,528,75,75,95,75,95,113
Tepig,FIRE,308,65,63,45,45,45,45
Pignite,FIRE,418,90,93,55,70,55,55
Emboar,FIRE,528,110,123,65,100,65,65
Oshawott,WATER,308,55,55,45,63,45,45
Dewott,WATER,413,75,75,60,83,60,60
Samurott,WATER,528,95,100,85,108,70,70
Patrat,NORMAL,255,45,55,39,35,39,42
Watchog,NORMAL,420,60,85,69,60,69,77
Lillipup,NORMAL,275,45,60,45,25,45,55
Herdier,NORMAL,370,65,80,65,35,65,60
Stoutland,NORMAL,490,85,100,90,45,90,80
Purrloin,DARK,281,41,50,37,50,37,66
Liepard,DARK,446,64,88,50,88,50,106
Pansage,GRASS,316,50,53,48,53,48,64
